# name	size=normal dims	land	terrain_fnv1a64	cuda_status	cuda==engine_ref
achiran	2000x1700	1149943	0x0aff25074334496e	OK	MISMATCH
aegean	1700x2000	1171283	0x9c0700c59184f9ee	OK	MISMATCH
africa	1948x2032	2183279	0x454b9014256ce9b1	OK	MISMATCH
alps	2000x1836	3672000	0x75bc7b39c2a203d3	OK	MISMATCH
amazonriver	5536x276	1150819	0x33baa1a1185d6d2c	OK	MISMATCH
antarctica	2000x2000	1292228	0x70ea2b340a16549a	OK	MISMATCH
archipelagosea	3100x1508	287155	0xd3db828a0ca9a101	OK	MISMATCH
arctic	1828x1828	1679064	0xb6bc4590f46da168	OK	MISMATCH
asia	2000x1200	1079855	0xe2b59d18799a7035	OK	MISMATCH
australia	2000x1500	1319763	0x85ef94f720474671	OK	MISMATCH
baikal	2500x1564	2181746	0x0e1b5f6225dadbe5	OK	MISMATCH
baikalnukewars	2500x1564	1968430	0xed13c12052bbaf26	OK	MISMATCH
bajacalifornia	1800x2120	1345295	0xa38782c585b68b29	OK	MISMATCH
balkans	2048x2048	2478805	0x99c0b68a2bbe3e0f	OK	MISMATCH
beringsea	2500x1600	1615723	0x1eaaaad13c582186	OK	MISMATCH
beringstrait	1500x916	596318	0x811652ec75431662	OK	MISMATCH
betweentwoseas	1776x1060	1478803	0x3eb68d7f1f5bfbc5	OK	MISMATCH
blacksea	1500x1100	1165868	0x06456e960d8d6959	OK	MISMATCH
bosphorusstraits	1000x612	382332	0x8ea730dab4512a83	OK	MISMATCH
britannia	1600x2088	1183898	0x231f3206b12585c4	OK	MISMATCH
britanniaclassic	2000x1396	933571	0xd73fe95ad18f4739	OK	MISMATCH
caribbean	3200x1808	577573	0xd07f95cf650eec4a	OK	MISMATCH
caspiansea	1008x1728	951192	0xc89ddc80deabf298	OK	MISMATCH
caucasus	1248x1000	846140	0x36d680bf4209231c	OK	MISMATCH
china	2080x1892	3344522	0x513241d9d838f3a6	OK	MISMATCH
choppingblock	1616x1616	1485703	0x8349b917e20753d3	OK	MISMATCH
conakry	2456x1000	1108371	0xc3eff4a6b55791c3	OK	MISMATCH
danishstraits	872x1224	587312	0x7820033d5bee5813	OK	MISMATCH
deglaciatedantarctica	2300x1840	1079790	0xe0793d07e1289dfa	OK	MISMATCH
didier	1500x1348	1122321	0x37b198e30eafd36d	OK	MISMATCH
didierfrance	2100x2248	2303633	0x8334759d56e1aa3a	OK	MISMATCH
dyslexdria	3080x1344	1893666	0x72413cc683385a04	OK	MISMATCH
eastasia	1560x1644	879264	0x717e72e9b1abed63	OK	MISMATCH
europe	2904x1672	2345907	0x51959f0acc2f82ba	OK	MISMATCH
europeclassic	2000x1000	1008469	0x20f95d0114d2a48a	OK	MISMATCH
falklandislands	2100x1400	746474	0x7e8ca13eff112a91	OK	MISMATCH
faroeislands	1600x2000	424994	0xbd9f4589ceeb7e90	OK	MISMATCH
fourislands	1500x1500	517044	0xe3213cbb88e84745	OK	MISMATCH
gatewaytotheatlantic	2216x1968	2239824	0x76eafdf188236a11	OK	MISMATCH
giantworldmap	4108x1948	2335403	0xb2f4fcf9ca6ec115	OK	MISMATCH
greatlakes	2000x1300	1938051	0xd858bdae5fd9d363	OK	MISMATCH
gulfofstlawrence	1620x1348	874011	0x1688ea5106416086	OK	MISMATCH
halkidiki	2200x1760	1728899	0xa1dbd087c3816b49	OK	MISMATCH
hawaii	3200x2076	408264	0x8494cf163acd0dcc	OK	MISMATCH
hongkong	2780x1996	2260689	0x6bafbddbed53b841	OK	MISMATCH
iceland	2000x1500	1069645	0x7d400c9d5896eabb	OK	MISMATCH
indiansubcontinent	2000x2220	2113509	0xa4a73db56a455b76	OK	MISMATCH
italia	1360x1272	775663	0x7d2410ce72bac2b2	OK	MISMATCH
japan	2500x2500	478894	0x75c045a78ae690ae	OK	MISMATCH
juandefucastrait	3000x1100	1666141	0x27c31912b6ebdd38	OK	MISMATCH
korea	1092x2148	1193914	0xdfcfe7ce123a7137	OK	MISMATCH
labyrinth	1360x1360	1524448	0x7c58ecbeaf37ae7c	OK	MISMATCH
lemnos	1748x1420	874763	0x71e51282fc741b2f	OK	MISMATCH
levant	2000x2000	2173100	0xe6875178c53f9840	OK	MISMATCH
lisbon	1600x1600	1495857	0xa8399d1d18732f3d	OK	MISMATCH
losangeles	1800x2276	2066165	0xbcb28f6454d3176f	OK	MISMATCH
luna	1308x3508	1517614	0x6eae9ad7f8036c29	OK	MISMATCH
manicouagan	1600x1600	1992029	0xe9978f6e06263019	OK	MISMATCH
marenostrum	2848x1448	2644620	0x60e6ff672cdf3956	OK	MISMATCH
mars	2000x1000	1354047	0xd6a314b4a17b12e5	OK	MISMATCH
mena	2200x964	1621317	0x4bbda760adeb2ddb	OK	MISMATCH
middleeast	2200x2060	3449078	0x9248e8077e76f81a	OK	MISMATCH
milkyway	1500x1500	442979	0x25ac051c17d102b7	OK	MISMATCH
mississippiriver	400x4200	1500944	0xf5e08e3a1153b82a	OK	MISMATCH
montreal	1528x1500	1954940	0x535d1b2d3c092bb5	OK	MISMATCH
newyorkcity	1500x1900	1648646	0x17500bcbf80f02ad	OK	MISMATCH
niledelta	1556x1280	1363238	0x2d0f190631488004	OK	MISMATCH
northamerica	2800x1448	1243929	0x9c36e813c33861a2	OK	MISMATCH
northwestpassage	2500x1664	1569905	0xf1fc1feaad0e78c7	OK	MISMATCH
oceania	2000x1000	194648	0xbcf9688cbd4d8d62	OK	MISMATCH
onion	512x512	210555	0x98dc7bbacf48d031	OK	MISMATCH
pangaea	1000x1000	420335	0xebffa87c2568cc58	OK	MISMATCH
passage	6000x400	803994	0x0e5e8aedd528e1fc	OK	MISMATCH
pluto	2100x1300	1987279	0x15e842ba9e37eef3	OK	MISMATCH
sanfrancisco	2000x1700	1887961	0xf5569d1240ae6dea	OK	MISMATCH
sierpinski	1400x1400	582988	0xa6949aeed24d459d	OK	MISMATCH
southamerica	1744x2376	1411064	0x4afb8cf93f47702d	OK	MISMATCH
southeastasia	2812x1672	977094	0xad3181897acb2fa4	OK	MISMATCH
straitofgibraltar	2900x1476	1957694	0xcf6394479f8a587d	OK	MISMATCH
straitofhormuz	1800x1200	1255327	0x1e31b7e3873b8a36	OK	MISMATCH
straitofmalacca	1832x1644	865820	0xf8166c02d20e905c	OK	MISMATCH
surrounded	1976x1976	767607	0xe16d2e09da0f71d4	OK	MISMATCH
svalmel	1700x1580	1011623	0xd49acaed426ed3b3	OK	MISMATCH
taiwanstrait	1600x1600	907469	0xdfd9a80843699974	OK	MISMATCH
thebox	2048x2048	4194304	0xf1d8cf5294222325	OK	MISMATCH
tierradelfuego	2504x1664	2193158	0x9e5aaf6138102df7	OK	MISMATCH
titan	1232x2160	1627144	0x1e4d1996fe7f9b45	OK	MISMATCH
