# ofcuda_matrix cell amazonriver n=488 nations=0 ticks=60
# engine oracle /opt/data/workspaces/skg/ofcuda_matrix/out/matrix/oracle/amazonriver_n488_nat0_t60.dump
# spawn init    /opt/data/workspaces/skg/ofcuda_matrix/out/matrix/refs/amazonriver_a488_nat0.init.txt
# map          /opt/data/workspaces/skg/openfront-ai/openfront/resources/maps/amazonriver (5536x276, land 1150819 from BYTES)
# engine land from manifest 1150819
### INIT (engine spawn output vs the CUDA spawn/init dump)
init_plane_hash 0xb4153bd9be8fcf49 engine_boundary0_hash 0xb4153bd9be8fcf49 match yes
per-player owned sets match: yes
engine boundary0 owned_total 25112, port plane owned 25112
BOT 0 sid=2 id=7kmb47oc spawn_tile=161952 n_owned=52
BOT 1 sid=3 id=su965kfe spawn_tile=1111816 n_owned=52
BOT 2 sid=4 id=4918e5rs spawn_tile=1212964 n_owned=52
BOT 3 sid=5 id=0grah7qg spawn_tile=456708 n_owned=52
BOT 4 sid=6 id=79lbhuod spawn_tile=45018 n_owned=52
BOT 5 sid=7 id=0eay8wsu spawn_tile=545804 n_owned=52
BOT 6 sid=8 id=l4g4juu8 spawn_tile=1442744 n_owned=52
BOT 7 sid=9 id=gsw4n5km spawn_tile=1368740 n_owned=52
BOT 8 sid=10 id=ooz4f963 spawn_tile=962566 n_owned=52
BOT 9 sid=11 id=g49bog52 spawn_tile=480411 n_owned=52
BOT 10 sid=12 id=vl3arc4y spawn_tile=715375 n_owned=52
BOT 11 sid=13 id=26spmsu2 spawn_tile=148161 n_owned=52
BOT 12 sid=14 id=666fmd2f spawn_tile=976489 n_owned=52
BOT 13 sid=15 id=vybu8oes spawn_tile=346488 n_owned=52
BOT 14 sid=16 id=tlx2iciq spawn_tile=194767 n_owned=52
BOT 15 sid=17 id=8i7cuo9t spawn_tile=893159 n_owned=52
BOT 16 sid=18 id=ay8xa67r spawn_tile=1029773 n_owned=52
BOT 17 sid=19 id=fha1xhrw spawn_tile=674825 n_owned=52
BOT 18 sid=20 id=0n5m7v7w spawn_tile=629488 n_owned=52
BOT 19 sid=21 id=g1kcotxi spawn_tile=175611 n_owned=52
BOT 20 sid=22 id=onu80sk7 spawn_tile=583681 n_owned=52
BOT 21 sid=23 id=mt378h9n spawn_tile=1374793 n_owned=52
