map	w	h	N	nations	ticks	init_sets	init_hash	tick_match	tick_total	hash_match	hash_total	count_match	count_total	troops_match	troops_total	churn_skipped	engine_evictions	reinits	dev_claims	first_div	note
pangaea	1000	1000	2	0	60	yes	yes	14	14	60	60	180	180	12	12	0	0	0	212	none	
pangaea	1000	1000	7	0	60	yes	yes	134	134	60	60	480	480	128	128	0	0	0	1407	none	
pangaea	1000	1000	18	0	60	yes	yes	302	303	49	50	949	950	301	303	0	0	0	3600	boundary 49 (engine tick 52): attack owner 9 target 0 troops engine 0x40a1b60dc5561886 vs device 0x409616476f5c76f8 (troop arithmetic diverged)	
pangaea	1000	1000	64	0	60	yes	yes	1095	1096	49	50	3249	3250	1094	1096	0	0	0	12546	boundary 49 (engine tick 52): attack owner 9 target 0 troops engine 0x40a1b60dc5561886 vs device 0x409616476f5c76f8 (troop arithmetic diverged)	
pangaea	1000	1000	488	0	60	yes	yes	8384	8385	45	46	22493	22494	8382	8385	0	0	0	85396	boundary 45 (engine tick 48): attack owner 341 target 0 troops engine 0x40a239db5ab52d58 vs device 0x4092bb09e9d09ea0 (troop arithmetic diverged)	
africa	1948	2032	2	0	60	yes	yes	14	14	60	60	180	180	12	12	0	0	0	209	none	
africa	1948	2032	18	0	60	yes	yes	302	303	49	50	949	950	301	303	0	0	0	3481	boundary 49 (engine tick 52): attack owner 9 target 0 troops engine 0x40a19c7a4e81b532 vs device 0x409616476f5c76f8 (troop arithmetic diverged)	
africa	1948	2032	64	0	60	yes	yes	1095	1096	49	50	3249	3250	1094	1096	0	0	0	12061	boundary 49 (engine tick 52): attack owner 9 target 0 troops engine 0x40a19c7a4e81b532 vs device 0x409616476f5c76f8 (troop arithmetic diverged)	
africa	1948	2032	488	0	60	yes	yes	8384	8385	45	46	22493	22494	8382	8385	0	0	0	83469	boundary 45 (engine tick 48): attack owner 341 target 0 troops engine 0x409cac6ee9993678 vs device 0x40917b09e9d09ea0 (troop arithmetic diverged)	
onion	512	512	7	0	60	yes	yes	134	134	60	60	480	480	128	128	0	0	0	1083	none	
onion	512	512	18	0	60	yes	yes	302	303	49	50	949	950	301	303	0	0	0	2684	boundary 49 (engine tick 52): attack owner 9 target 0 troops engine 0x40a4469d8a55d92a vs device 0x4097fe476f5c76f8 (troop arithmetic diverged)	
onion	512	512	64	0	60	yes	yes	1095	1096	49	50	3249	3250	1094	1096	0	0	0	9195	boundary 49 (engine tick 52): attack owner 9 target 0 troops engine 0x40a4469d8a55d92a vs device 0x4097fe476f5c76f8 (troop arithmetic diverged)	
onion	512	512	488	0	60	yes	yes	5627	5628	46	47	22983	22983	5625	5628	0	0	0	43196	boundary 46 (engine tick 49): attack owner 159 target 0 troops engine 0x409c1b79e3a41db0 vs device 0x4098de476f5c76f8 (troop arithmetic diverged)	PORT FAILED TO PLACE SOME BOT
europe	2904	1672	2	0	60	yes	yes	14	14	60	60	180	180	12	12	0	0	0	168	none	
europe	2904	1672	7	0	60	yes	yes	134	134	60	60	480	480	128	128	0	0	0	1548	none	
europe	2904	1672	18	0	60	yes	yes	302	303	49	50	949	950	301	303	0	0	0	4162	boundary 49 (engine tick 52): attack owner 9 target 0 troops engine 0x40978e755903c808 vs device 0x40931e476f5c76f8 (troop arithmetic diverged)	
world	2000	1000	18	0	60	yes	yes	302	303	49	50	949	950	301	303	0	0	0	3825	boundary 49 (engine tick 52): attack owner 9 target 0 troops engine 0x409b2972f7a1182c vs device 0x40927e476f5c76f8 (troop arithmetic diverged)	
world	2000	1000	64	0	60	yes	yes	1095	1096	49	50	3249	3250	1094	1096	0	0	0	12262	boundary 49 (engine tick 52): attack owner 9 target 0 troops engine 0x409b2972f7a1182c vs device 0x40927e476f5c76f8 (troop arithmetic diverged)	
amazonriver	5536	276	18	0	60	yes	yes	302	303	49	50	949	950	301	303	0	0	0	4339	boundary 49 (engine tick 52): attack owner 9 target 0 troops engine 0x4097fa5c65de0960 vs device 0x4092ee476f5c76f8 (troop arithmetic diverged)	
amazonriver	5536	276	488	0	60	yes	yes	8384	8385	45	46	22493	22494	8382	8385	0	0	0	97991	boundary 45 (engine tick 48): attack owner 341 target 0 troops engine 0x409d44b9bd54a448 vs device 0x4091e309e9d09ea0 (troop arithmetic diverged)	
thebox	2048	2048	18	0	60	yes	yes	302	303	49	50	949	950	301	303	0	0	0	4483	boundary 49 (engine tick 52): attack owner 9 target 0 troops engine 0x4097c753a18a1c2c vs device 0x40935e476f5c76f8 (troop arithmetic diverged)	
thebox	2048	2048	488	0	60	yes	yes	8384	8385	45	46	22493	22494	8382	8385	0	0	0	106619	boundary 45 (engine tick 48): attack owner 341 target 0 troops engine 0x409d44b9bd54a448 vs device 0x4091e309e9d09ea0 (troop arithmetic diverged)	
giantworldmap	4108	1948	7	0	60	yes	yes	134	134	60	60	480	480	128	128	0	0	0	1477	none	
