cell	map	W	H	aspect	frames	out_px	terrain_ok
pangaea_n488_nat0_t60	pangaea	1000	1000	1.0000	61	800x800	yes
pangaea_n2_nat0_t60	pangaea	1000	1000	1.0000	61	800x800	yes
africa_n18_nat0_t60	africa	1948	2032	0.9587	61	766x800	yes
europe_n18_nat0_t60	europe	2904	1672	1.7368	61	800x460	yes
world_n18_nat0_t60	world	2000	1000	2.0000	61	800x400	yes
amazonriver_n18_nat0_t60	amazonriver	5536	276	20.0580	61	800x39	yes
thebox_n64_nat0_t60	thebox	2048	2048	1.0000	61	800x800	yes
onion_n7_nat0_t60	onion	512	512	1.0000	61	800x800	yes
giantworldmap_n7_nat0_t60	giantworldmap	4108	1948	2.1088	61	800x379	yes
passage_n18_nat0_t60	passage	6000	400	15.0000	61	800x53	yes
mississippiriver_n18_nat0_t60	mississippiriver	400	4200	0.0952	61	76x800	yes
