achiran	Normal	2000x1700	1000x850	4	0	0
achiran	Compact	1000x850	500x425	4	0	0
aegean	Normal	1700x2000	850x1000	29	0	1
aegean	Compact	850x1000	425x500	29	0	1
africa	Normal	1948x2032	974x1016	44	0	0
africa	Compact	974x1016	487x508	44	0	0
alps	Normal	2000x1836	1000x918	8	0	0
alps	Compact	1000x918	500x459	8	0	0
amazonriver	Normal	5536x276	2768x138	21	0	0
amazonriver	Compact	2768x138	1384x69	21	0	0
antarctica	Normal	2000x2000	1000x1000	10	0	0
antarctica	Compact	1000x1000	500x500	10	0	0
archipelagosea	Normal	3100x1508	1550x754	20	0	0
archipelagosea	Compact	1550x754	775x377	20	0	0
arctic	Normal	1828x1828	914x914	44	0	0
arctic	Compact	914x914	457x457	44	0	0
asia	Normal	2000x1200	1000x600	25	0	0
asia	Compact	1000x600	500x300	25	0	0
australia	Normal	2000x1500	1000x750	7	0	0
australia	Compact	1000x750	500x375	7	0	0
baikal	Normal	2500x1564	1250x782	11	0	1
baikal	Compact	1250x782	625x391	11	0	1
baikalnukewars	Normal	2500x1564	1250x782	0	0	1
baikalnukewars	Compact	1250x782	625x391	0	0	1
bajacalifornia	Normal	1800x2120	900x1060	8	0	0
bajacalifornia	Compact	900x1060	450x530	8	0	0
balkans	Normal	2048x2048	1024x1024	23	39	0
balkans	Compact	1024x1024	512x512	23	39	0
beringsea	Normal	2500x1600	1250x800	24	0	1
beringsea	Compact	1250x800	625x400	24	0	1
beringstrait	Normal	1500x916	750x458	2	0	1
beringstrait	Compact	750x458	375x229	2	0	1
betweentwoseas	Normal	1776x1060	888x530	15	0	0
betweentwoseas	Compact	888x530	444x265	15	0	0
blacksea	Normal	1500x1100	750x550	9	0	0
blacksea	Compact	750x550	375x275	9	0	0
bosphorusstraits	Normal	1000x612	500x306	22	0	1
bosphorusstraits	Compact	500x306	250x153	22	0	1
britannia	Normal	1600x2088	800x1044	20	0	0
britannia	Compact	800x1044	400x522	20	0	0
britanniaclassic	Normal	2000x1396	1000x698	23	0	0
britanniaclassic	Compact	1000x698	500x349	23	0	0
caribbean	Normal	3200x1808	1600x904	34	28	0
caribbean	Compact	1600x904	800x452	34	28	0
caspiansea	Normal	1008x1728	504x864	12	0	1
caspiansea	Compact	504x864	252x432	12	0	1
caucasus	Normal	1248x1000	624x500	21	0	0
caucasus	Compact	624x500	312x250	21	0	0
china	Normal	2080x1892	1040x946	32	30	0
china	Compact	1040x946	520x473	32	30	0
choppingblock	Normal	1616x1616	808x808	32	47	2
choppingblock	Compact	808x808	404x404	32	47	2
conakry	Normal	2456x1000	1228x500	20	0	1
conakry	Compact	1228x500	614x250	20	0	1
danishstraits	Normal	872x1224	436x612	26	0	0
danishstraits	Compact	436x612	218x306	26	0	0
deglaciatedantarctica	Normal	2300x1840	1150x920	9	0	0
deglaciatedantarctica	Compact	1150x920	575x460	9	0	0
didier	Normal	1500x1348	750x674	12	0	0
didier	Compact	750x674	375x337	12	0	0
didierfrance	Normal	2100x2248	1050x1124	42	0	0
didierfrance	Compact	1050x1124	525x562	42	0	0
dyslexdria	Normal	3080x1344	1540x672	76	142	0
dyslexdria	Compact	1540x672	770x336	76	142	0
eastasia	Normal	1560x1644	780x822	22	0	0
eastasia	Compact	780x822	390x411	22	0	0
europe	Normal	2904x1672	1452x836	52	0	0
europe	Compact	1452x836	726x418	52	0	0
europeclassic	Normal	2000x1000	1000x500	37	0	0
europeclassic	Compact	1000x500	500x250	37	0	0
falklandislands	Normal	2100x1400	1050x700	12	0	1
falklandislands	Compact	1050x700	525x350	12	0	1
faroeislands	Normal	1600x2000	800x1000	6	0	0
faroeislands	Compact	800x1000	400x500	6	0	0
fourislands	Normal	1500x1500	750x750	4	0	2
fourislands	Compact	750x750	375x375	4	0	2
gatewaytotheatlantic	Normal	2216x1968	1108x984	27	0	0
gatewaytotheatlantic	Compact	1108x984	554x492	27	0	0
